fraud_reported,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,months_as_customer,insured_zip,age,insured_sex,insured_education_level,insured_occupation,insured_hobbies,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year
N,320251,1/24/2009,IL,100/300,2000,1132.74,0,202,616120,38,FEMALE,Associate,armed-forces,exercise,0,-37500,2/4/2015,Single Vehicle Collision,Side Collision,Major Damage,Other,WV,Hillsdale,7061 Cherokee Drive,12,1,YES,1,1,NO,77440,7040,14080,56320,Nissan,Ultima,2005
N,322609,7/5/2007,OH,500/1000,1000,1230.69,0,287,440720,45,MALE,Masters,transport-moving,golf,0,-54600,1/10/2015,Single Vehicle Collision,Front Collision,Minor Damage,Fire,VA,Springfield,3808 5th Ave,19,1,NO,0,2,NO,53800,5380,5380,43040,Accura,MDX,2006
Y,322613,4/16/1995,IN,250/500,1000,1183.48,0,110,442389,33,MALE,Associate,other-service,bungie-jumping,0,0,1/26/2015,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,VA,Northbend,2123 Texas Ave,19,1,UNKNOWN,2,3,NO,55200,13800,9200,32200,Saab,93,2015
Y,326180,5/25/2002,IL,100/300,2000,1304.46,0,9,473349,24,FEMALE,PhD,machine-op-inspct,golf,51700,-33300,1/31/2015,Vehicle Theft,NA,Trivial Damage,None,NC,Arlington,6939 3rd Hwy,6,1,NO,0,3,YES,5940,540,1080,4320,Audi,A5,2001
N,326289,1/3/2004,OH,100/300,500,1048.39,0,87,620962,27,FEMALE,Masters,transport-moving,polo,0,0,2/13/2015,Single Vehicle Collision,Side Collision,Minor Damage,Police,NY,Riverwood,6608 Apache Lane,2,1,UNKNOWN,2,1,YES,34650,6300,3150,25200,Ford,F150,1996
N,326322,2/10/2007,IL,250/500,1000,433.33,0,101,603269,27,MALE,Masters,machine-op-inspct,golf,25900,0,1/2/2015,Parked Car,NA,Minor Damage,None,SC,Hillsdale,6067 Weaver Ridge,7,1,UNKNOWN,0,3,NO,5900,1180,590,4130,Mercedes,E400,2009
N,327488,8/9/1993,OH,250/500,1000,919.37,0,155,459537,35,FEMALE,Associate,protective-serv,hiking,83600,0,1/18/2015,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Northbrook,1331 Elm Ridge,0,1,UNKNOWN,0,3,UNKNOWN,48360,8060,8060,32240,Nissan,Maxima,1997
N,327856,8/27/2014,OH,100/300,500,1008.38,0,27,472803,32,FEMALE,PhD,adm-clerical,yachting,37900,0,2/1/2015,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,SC,Arlington,4239 Weaver Ave,11,1,NO,1,0,UNKNOWN,61500,12300,6150,43050,Dodge,Neon,2013
N,328387,5/6/2014,IL,100/300,1000,1496.44,0,428,616884,53,FEMALE,High School,tech-support,camping,0,0,2/16/2015,Parked Car,NA,Trivial Damage,Police,NC,Springfield,2215 Best Ave,9,1,YES,2,2,NO,6930,630,1260,5040,Honda,CRV,2013
N,330119,6/15/2004,IL,500/1000,1000,1125.4,0,215,606144,35,MALE,Masters,adm-clerical,yachting,40000,-43400,1/15/2015,Vehicle Theft,NA,Trivial Damage,None,WV,Columbus,7785 Lincoln Lane,6,1,UNKNOWN,2,1,NO,2640,220,440,1980,Jeep,Wrangler,2001
N,330506,9/19/1995,OH,250/500,1000,1422.36,0,259,604668,39,FEMALE,JD,craft-repair,movies,0,-83900,1/24/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,PA,Columbus,5178 Weaver Hwy,12,3,NO,1,3,UNKNOWN,46560,7760,7760,31040,Nissan,Ultima,2012
Y,330591,8/5/1993,OH,500/1000,2000,1103.58,0,225,475292,41,MALE,High School,exec-managerial,exercise,41200,-36200,1/19/2015,Multi-vehicle Collision,Side Collision,Major Damage,Police,NY,Northbend,3814 Britain Drive,20,3,UNKNOWN,2,2,NO,70400,6400,12800,51200,Toyota,Highlander,2011
N,331170,3/26/1995,IL,250/500,2000,1370.92,0,95,442206,30,MALE,College,transport-moving,video-games,48900,0,2/14/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Arlington,1437 3rd Lane,22,1,YES,0,3,UNKNOWN,34800,3480,6960,24360,Accura,MDX,1999
Y,331595,11/29/1999,IL,100/300,1000,904.7,7000000,230,454530,39,FEMALE,MD,craft-repair,bungie-jumping,68600,-22300,2/17/2015,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,Riverwood,7460 Apache Lane,0,1,UNKNOWN,1,3,NO,74200,14840,14840,44520,Accura,TL,2002
N,331683,2/12/2009,OH,100/300,2000,1578.54,0,266,468158,46,MALE,Associate,handlers-cleaners,chess,0,-41400,1/21/2015,Single Vehicle Collision,Front Collision,Minor Damage,Fire,WV,Hillsdale,7502 Rock Lane,18,1,NO,1,3,YES,83490,7590,15180,60720,Nissan,Pathfinder,1996
Y,332867,12/13/1993,IN,100/300,500,1362.87,0,254,458364,39,FEMALE,MD,exec-managerial,chess,35700,0,2/22/2015,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Arlington,1218 Sky Hwy,6,3,YES,2,2,NO,82320,13720,6860,61740,Dodge,Neon,1995
Y,332892,10/25/2007,IN,250/500,1000,1194,0,88,613583,25,FEMALE,JD,handlers-cleaners,movies,0,0,2/13/2015,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Northbrook,3982 Washington Hwy,6,1,YES,1,2,YES,66780,7420,7420,51940,Ford,Escape,2013
Y,334749,7/29/1996,OH,100/300,2000,1422.21,0,269,620507,41,FEMALE,Associate,handlers-cleaners,polo,0,-46400,1/16/2015,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,WV,Riverwood,5022 1st St,21,1,YES,2,1,NO,85900,17180,17180,51540,Suburu,Forrestor,2005
Y,335780,7/22/2002,OH,250/500,2000,1587.96,0,14,601617,28,FEMALE,Associate,craft-repair,board-games,0,-26900,2/14/2015,Single Vehicle Collision,Rear Collision,Major Damage,Fire,WV,Riverwood,8991 Embaracadero Ave,18,1,UNKNOWN,2,1,YES,71280,12960,12960,45360,Audi,A5,2012
Y,336047,4/21/2003,OH,250/500,500,1264.77,0,117,447300,28,FEMALE,Associate,transport-moving,yachting,47500,-32500,2/5/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Springfield,4058 Tree Drive,13,2,YES,0,1,UNKNOWN,55440,5040,10080,40320,Suburu,Forrestor,2009
N,336614,8/1/2003,IL,500/1000,1000,1088.34,0,155,614780,35,FEMALE,Associate,adm-clerical,yachting,81100,0,2/24/2015,Multi-vehicle Collision,Front Collision,Total Loss,Police,NY,Arlington,6092 5th Ave,16,3,YES,2,3,NO,29790,3310,3310,23170,BMW,3 Series,2008
Y,337158,4/8/1991,OH,250/500,2000,945.73,5000000,272,435663,41,MALE,MD,protective-serv,chess,38600,-42800,2/4/2015,Single Vehicle Collision,Front Collision,Minor Damage,Fire,NY,Arlington,4981 Flute Hwy,23,1,NO,0,0,NO,84100,16820,8410,58870,Ford,Escape,2009
N,337677,7/20/2008,OH,100/300,2000,1437.33,0,299,450339,42,FEMALE,Associate,craft-repair,movies,25000,0,2/24/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Other,SC,Columbus,1091 1st Drive,13,1,YES,1,3,NO,70400,12800,12800,44800,BMW,3 Series,2000
N,338070,1/25/2006,IN,500/1000,1000,1037.32,0,446,438837,61,FEMALE,High School,tech-support,skydiving,0,-15700,1/30/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NC,Hillsdale,5341 5th Ave,1,3,UNKNOWN,2,1,NO,80880,6740,13480,60660,Nissan,Ultima,2005
N,340614,6/1/1997,IL,250/500,2000,1212.12,0,229,446544,37,FEMALE,MD,craft-repair,paintball,65600,0,1/29/2015,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,Columbus,8542 Lincoln Ridge,14,3,YES,1,1,YES,68760,11460,5730,51570,Ford,Fusion,1995
N,342830,11/9/1991,IL,500/1000,1000,1468.82,0,64,474731,28,MALE,JD,handlers-cleaners,skydiving,56800,-51800,2/13/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,SC,Riverwood,3639 Flute Hwy,9,3,NO,2,1,NO,60000,5000,10000,45000,Honda,Accord,1997
Y,342868,6/27/2006,IN,250/500,2000,1197.22,5000000,228,468176,42,MALE,MD,machine-op-inspct,reading,0,0,1/21/2015,Vehicle Theft,NA,Minor Damage,Police,VA,Riverwood,6608 MLK Hwy,8,1,UNKNOWN,0,0,UNKNOWN,5070,780,780,3510,Mercedes,E400,2007
N,343161,6/10/2014,IL,500/1000,1000,993.51,0,119,468767,32,MALE,High School,armed-forces,bungie-jumping,0,-49500,1/12/2015,Single Vehicle Collision,Side Collision,Minor Damage,Other,WV,Hillsdale,3567 4th Drive,12,1,NO,0,3,YES,56300,5630,11260,39410,BMW,M5,2011
N,343421,10/18/1996,OH,500/1000,500,1480.79,9000000,347,432399,51,FEMALE,MD,priv-house-serv,board-games,0,-12100,1/7/2015,Single Vehicle Collision,Side Collision,Total Loss,Other,NC,Hillsdale,9070 Tree Ave,15,1,YES,0,2,UNKNOWN,103560,8630,17260,77670,Jeep,Wrangler,1997
N,344480,2/18/1990,OH,100/300,2000,1482.57,0,260,607133,46,MALE,MD,priv-house-serv,reading,35000,0,2/20/2015,Single Vehicle Collision,Front Collision,Minor Damage,Fire,NY,Columbus,4780 Best Drive,7,1,NO,0,1,NO,64080,10680,10680,42720,Toyota,Camry,2005
N,345539,7/24/2012,IN,100/300,1000,1559.34,0,280,448912,43,MALE,JD,transport-moving,hiking,0,-51600,2/17/2015,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Riverwood,1580 Maple Lane,1,1,NO,0,2,UNKNOWN,77000,14000,7000,56000,Accura,RSX,2004
N,346002,8/20/1990,OH,250/500,500,835.02,0,478,602433,64,FEMALE,Associate,adm-clerical,reading,59600,0,2/2/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,WV,Hillsdale,8538 Texas Lane,17,3,NO,1,1,NO,33930,0,3770,30160,BMW,X6,1998
Y,346940,9/13/2002,OH,500/1000,1000,1166.54,0,112,479852,30,FEMALE,Masters,prof-specialty,sleeping,47700,-59300,1/21/2015,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,Arlington,9316 Pine Ave,3,1,YES,2,0,NO,107900,10790,21580,75530,Dodge,Neon,1997
Y,347984,10/21/2009,OH,100/300,2000,617.11,0,157,436711,32,MALE,College,other-service,reading,0,-54100,1/2/2015,Multi-vehicle Collision,Front Collision,Major Damage,Other,VA,Columbus,6658 Weaver St,14,3,UNKNOWN,1,2,NO,50800,10160,5080,35560,Mercedes,E400,2013
N,348209,2/22/1994,IN,500/1000,1000,1279.08,0,338,449718,49,MALE,MD,other-service,kayaking,0,-51500,2/27/2015,Parked Car,NA,Minor Damage,None,NC,Riverwood,7721 Washington Ridge,13,1,NO,0,1,UNKNOWN,4300,860,860,2580,Ford,F150,2004
N,348814,9/24/1992,IL,500/1000,1000,1245.61,0,261,478703,46,MALE,MD,transport-moving,base-jumping,0,0,2/12/2015,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Columbus,5168 5th Ave,11,1,YES,1,0,UNKNOWN,59670,9180,9180,41310,Ford,Escape,2008
Y,349658,6/7/1994,IN,100/300,500,1927.87,0,254,609317,40,MALE,MD,prof-specialty,yachting,0,0,1/21/2015,Single Vehicle Collision,Front Collision,Minor Damage,Fire,VA,Arlington,6260 5th Lane,10,1,YES,0,1,UNKNOWN,43280,0,5410,37870,Honda,Civic,1996
N,351741,2/3/1997,OH,500/1000,1000,1372.18,0,274,439929,46,MALE,High School,exec-managerial,bungie-jumping,0,0,1/13/2015,Multi-vehicle Collision,Side Collision,Total Loss,Other,WV,Riverwood,5914 Oak Ave,22,3,NO,1,3,UNKNOWN,90600,15100,15100,60400,BMW,X5,2009
N,352120,12/11/1994,IN,250/500,500,1518.54,0,166,470510,37,FEMALE,MD,craft-repair,kayaking,0,0,1/25/2015,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,PA,Riverwood,3726 MLK Hwy,10,1,YES,1,1,NO,58300,10600,10600,37100,Ford,F150,2001
Y,354105,6/8/1994,IN,250/500,2000,1238.62,6000000,22,463993,29,MALE,MD,exec-managerial,yachting,0,-56200,2/14/2015,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Springfield,8576 Andromedia St,14,1,UNKNOWN,2,3,UNKNOWN,70800,7080,14160,49560,Accura,MDX,2012
N,354455,4/19/2007,IN,250/500,1000,1416.08,0,246,612546,39,FEMALE,JD,craft-repair,yachting,0,-36600,1/27/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Northbrook,6684 Solo Lane,16,1,YES,0,3,UNKNOWN,45180,5020,5020,35140,Honda,CRV,2004
N,354481,11/17/2004,IN,100/300,1000,1342.02,0,150,608425,30,MALE,MD,prof-specialty,polo,0,0,2/28/2015,Parked Car,NA,Trivial Damage,None,VA,Arlington,6317 Best St,8,1,YES,0,2,NO,4500,450,450,3600,Saab,93,1999
N,355085,10/9/2012,IN,500/1000,500,1021.9,0,8,464237,21,MALE,High School,handlers-cleaners,hiking,0,0,2/5/2015,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,Columbus,6117 4th Ave,21,1,UNKNOWN,0,0,UNKNOWN,91260,14040,14040,63180,Toyota,Corolla,2012
Y,356590,8/17/2011,IN,250/500,500,1239.22,7000000,107,476458,31,FEMALE,High School,tech-support,paintball,43400,-91200,1/30/2015,Single Vehicle Collision,Side Collision,Minor Damage,Fire,SC,Springfield,9169 Pine Ridge,12,1,YES,0,1,NO,89700,13800,13800,62100,Audi,A5,2009
N,356768,3/11/2010,IL,100/300,500,1006.77,6000000,32,478172,38,FEMALE,College,other-service,sleeping,0,0,2/6/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbend,7434 Oak Hwy,15,3,YES,2,1,YES,70900,14180,7090,49630,BMW,X6,1997
Y,357394,5/9/2008,IL,250/500,2000,785.82,0,77,620207,26,MALE,JD,exec-managerial,movies,49700,0,1/7/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Hillsdale,9082 3rd Lane,12,3,YES,2,0,UNKNOWN,69080,12560,6280,50240,Audi,A5,2009
N,357713,10/28/2007,OH,500/1000,1000,1141.71,2000000,126,435995,33,FEMALE,JD,priv-house-serv,sleeping,36700,-73400,1/4/2015,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,WV,Northbrook,7782 Rock St,21,1,YES,1,2,UNKNOWN,54160,6770,6770,40620,Suburu,Legacy,2009
N,357808,1/31/2011,IN,500/1000,500,1114.68,0,164,474758,31,FEMALE,Associate,other-service,reading,44500,-55900,1/26/2015,Vehicle Theft,NA,Trivial Damage,Police,SC,Springfield,8233 Tree Drive,5,1,YES,1,0,NO,4320,480,480,3360,Mercedes,E400,2002
N,357949,5/24/2006,OH,500/1000,500,854.58,0,1,612826,29,FEMALE,JD,craft-repair,paintball,52200,0,1/1/2015,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbrook,7178 Best Drive,15,1,UNKNOWN,2,3,YES,86790,7890,23670,55230,Honda,CRV,2003
N,360770,9/21/2005,IN,100/300,500,1285.03,3000000,65,457942,26,FEMALE,High School,craft-repair,camping,0,-41500,2/3/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,VA,Riverwood,8940 Elm Ave,0,1,NO,1,3,UNKNOWN,52200,5220,10440,36540,Honda,CRV,2011
N,361829,9/17/1994,OH,500/1000,2000,1021.14,0,103,618418,33,FEMALE,Masters,other-service,paintball,69500,-47700,1/19/2015,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,Northbend,4176 Britain Hwy,1,3,NO,2,3,UNKNOWN,79090,14380,14380,50330,Dodge,RAM,2014
N,362407,12/6/1996,IN,100/300,500,1264.99,0,209,614169,39,MALE,PhD,transport-moving,polo,67800,0,1/1/2015,Single Vehicle Collision,Side Collision,Minor Damage,Fire,VA,Northbrook,3340 3rd Hwy,22,1,UNKNOWN,1,1,NO,37800,8400,4200,25200,Chevrolet,Silverado,1995
N,362843,8/9/2004,OH,250/500,2000,1111.17,0,267,469438,46,MALE,MD,craft-repair,base-jumping,35000,0,2/3/2015,Parked Car,NA,Trivial Damage,None,WV,Arlington,4905 Best Lane,3,1,YES,2,3,YES,4950,900,450,3600,Toyota,Camry,1995
N,364055,5/14/2001,IN,500/1000,500,1488.26,0,30,440831,36,FEMALE,College,machine-op-inspct,golf,0,-63500,2/28/2015,Multi-vehicle Collision,Side Collision,Total Loss,Police,WV,Northbrook,4627 Elm Ridge,17,3,NO,2,2,UNKNOWN,57900,5790,5790,46320,Saab,95,2008
N,365364,12/28/2002,IL,500/1000,1000,978.46,0,330,431121,50,FEMALE,High School,sales,yachting,0,0,2/4/2015,Single Vehicle Collision,Side Collision,Total Loss,Fire,NY,Hillsdale,6634 Texas Ridge,19,1,YES,0,0,NO,49060,8920,8920,31220,Chevrolet,Silverado,1995
N,367455,6/6/2014,IL,500/1000,1000,1583.91,6000000,228,610706,44,MALE,Associate,sales,board-games,66000,-46000,2/17/2015,Vehicle Theft,NA,Minor Damage,None,NY,Arlington,3041 3rd Ave,20,1,NO,0,1,NO,6500,1300,650,4550,Accura,RSX,2009
N,367595,2/3/2006,IN,500/1000,500,1307.74,0,243,466137,43,FEMALE,Associate,machine-op-inspct,board-games,0,-75700,1/28/2015,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,SC,Riverwood,6451 1st Hwy,10,3,UNKNOWN,0,1,NO,37530,4170,4170,29190,Jeep,Wrangler,2008
N,368050,1/8/2013,IL,500/1000,2000,1167.3,4000000,255,618123,41,MALE,High School,priv-house-serv,board-games,0,0,2/22/2015,Single Vehicle Collision,Side Collision,Minor Damage,Fire,SC,Hillsdale,8381 Solo Hwy,22,1,NO,2,0,UNKNOWN,69300,13860,13860,41580,Volkswagen,Passat,2000
N,369048,6/5/2011,IL,500/1000,500,1527.95,0,309,611322,47,MALE,PhD,exec-managerial,hiking,69400,0,2/21/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Other,WV,Northbend,4143 Maple Ridge,15,4,YES,0,1,UNKNOWN,77800,15560,15560,46680,Dodge,RAM,2002
N,369226,2/10/2002,OH,250/500,500,1300.68,0,267,600418,43,MALE,PhD,adm-clerical,sleeping,49000,0,1/27/2015,Parked Car,NA,Minor Damage,None,NC,Northbend,4431 Rock St,0,1,NO,1,3,YES,1920,480,0,1440,Chevrolet,Tahoe,2011
N,369781,5/25/2011,IL,250/500,2000,1166.62,6000000,380,602500,53,MALE,Associate,priv-house-serv,bungie-jumping,0,0,2/24/2015,Parked Car,NA,Trivial Damage,Police,NC,Northbend,8991 Texas Hwy,23,1,NO,0,3,NO,5700,570,570,4560,Saab,93,2001
N,369941,7/24/2007,OH,100/300,500,1330.39,0,99,612664,28,MALE,MD,prof-specialty,basketball,0,0,1/22/2015,Single Vehicle Collision,Front Collision,Total Loss,Other,NY,Columbus,8766 Lincoln Lane,3,1,NO,2,2,YES,49900,4990,9980,34930,Dodge,Neon,1998
N,371635,10/13/1991,OH,500/1000,1000,1086.48,6000000,156,444903,37,MALE,Associate,machine-op-inspct,hiking,0,-53800,1/16/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,Northbrook,8064 4th Ave,17,3,UNKNOWN,1,1,YES,77440,14080,7040,56320,Suburu,Legacy,1999
N,372891,6/26/2000,IN,250/500,2000,1009.37,0,230,442210,44,FEMALE,College,prof-specialty,hiking,45400,-39400,2/17/2015,Single Vehicle Collision,Front Collision,Total Loss,Fire,SC,Riverwood,9787 Andromedia Ave,19,1,NO,0,2,YES,74140,13480,13480,47180,BMW,X5,2015
N,372912,8/5/1992,IN,100/300,1000,1437.88,0,88,614383,30,FEMALE,College,transport-moving,reading,42800,-51200,2/25/2015,Single Vehicle Collision,Side Collision,Total Loss,Fire,SC,Northbrook,9488 Best Drive,3,1,NO,2,0,YES,56000,14000,0,42000,Chevrolet,Malibu,2003
N,373600,12/1/2000,OH,100/300,1000,1217.84,5000000,225,443462,37,FEMALE,High School,farming-fishing,yachting,49600,0,2/7/2015,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,WV,Northbrook,6501 5th Drive,19,3,UNKNOWN,2,2,NO,57600,9600,9600,38400,Volkswagen,Passat,2015
N,373731,12/24/2012,IL,100/300,1000,1226.78,0,222,468433,40,MALE,JD,armed-forces,camping,49600,-49200,1/22/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,NY,Springfield,4567 Pine Ave,17,2,YES,2,0,UNKNOWN,81500,16300,8150,57050,BMW,3 Series,2013
Y,373935,2/13/2003,IN,500/1000,500,1335.13,0,414,452647,52,FEMALE,High School,farming-fishing,chess,44000,-71000,1/7/2015,Single Vehicle Collision,Rear Collision,Total Loss,Police,SC,Northbend,3707 Oak Ridge,13,1,YES,1,1,UNKNOWN,54810,6090,6090,42630,Chevrolet,Silverado,1999
N,374545,8/28/2005,IN,250/500,500,664.86,0,149,608963,34,FEMALE,PhD,craft-repair,skydiving,0,-60000,2/4/2015,Single Vehicle Collision,Rear Collision,Total Loss,Fire,WV,Columbus,5226 Maple St,3,1,UNKNOWN,0,1,NO,105040,16160,16160,72720,Dodge,RAM,1999
Y,376879,7/11/1991,IL,100/300,1000,1406.52,8000000,195,619148,37,MALE,MD,tech-support,base-jumping,0,0,1/28/2015,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,SC,Arlington,2849 Pine Drive,12,1,NO,0,2,NO,44200,4420,4420,35360,Jeep,Wrangler,2002
N,378587,12/16/1998,OH,250/500,2000,1107.59,3000000,229,468202,41,MALE,PhD,tech-support,chess,65400,0,1/23/2015,Single Vehicle Collision,Side Collision,Major Damage,Other,NY,Columbus,6888 Elm Ridge,23,1,NO,1,3,NO,62640,10440,10440,41760,Mercedes,C300,2009
Y,378588,2/29/2004,OH,500/1000,500,1757.87,0,222,458993,39,MALE,High School,transport-moving,board-games,71400,0,1/17/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Other,SC,Northbrook,1956 Apache St,9,3,YES,2,1,UNKNOWN,55000,5000,10000,40000,Saab,93,1996
Y,379268,8/5/2012,IN,250/500,500,1209.63,0,123,447188,29,FEMALE,Masters,machine-op-inspct,chess,64800,-44200,1/14/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NC,Arlington,8368 Cherokee Ave,17,1,YES,1,0,YES,73260,16280,0,56980,Volkswagen,Jetta,2014
N,379882,11/7/2012,IL,250/500,500,1275.62,0,440,602258,55,FEMALE,Associate,priv-house-serv,reading,0,-56200,1/23/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Police,NY,Riverwood,3039 Oak Hwy,18,3,YES,2,1,NO,61400,6140,6140,49120,Nissan,Ultima,1995
N,380067,7/7/2013,OH,500/1000,1000,1243.84,0,250,474848,43,FEMALE,JD,tech-support,polo,47900,-73400,1/30/2015,Single Vehicle Collision,Side Collision,Minor Damage,Other,VA,Columbus,5771 Sky Ave,22,1,YES,1,3,NO,64900,12980,12980,38940,Volkswagen,Jetta,2011
N,382394,1/23/1996,OH,100/300,2000,1170.53,0,259,465667,42,FEMALE,PhD,armed-forces,sleeping,65000,-49200,1/12/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,WV,Northbend,8897 Sky St,17,3,NO,1,2,YES,62590,5690,11380,45520,Nissan,Pathfinder,2006
Y,384618,2/9/1993,IN,250/500,500,1090.65,0,156,608331,37,MALE,High School,exec-managerial,golf,0,-51800,1/16/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NC,Columbus,7142 5th Lane,16,4,UNKNOWN,1,2,YES,53400,5340,5340,42720,Honda,Civic,2010
Y,385932,4/28/1992,IL,100/300,500,1268.35,0,364,478902,51,MALE,Masters,transport-moving,board-games,0,0,1/10/2015,Single Vehicle Collision,Rear Collision,Major Damage,Other,NY,Northbrook,2397 Cherokee Ave,16,1,YES,2,1,NO,77330,14060,14060,49210,Volkswagen,Jetta,2014
N,386429,5/27/2002,IL,250/500,500,1381.88,5000000,4,433153,29,MALE,High School,tech-support,exercise,0,-77800,2/21/2015,Vehicle Theft,NA,Trivial Damage,Police,SC,Hillsdale,2968 Andromedia Ave,4,1,NO,0,2,UNKNOWN,4200,840,420,2940,Jeep,Wrangler,2008
Y,386690,2/21/2006,IN,100/300,1000,1050.24,0,162,456789,31,FEMALE,Masters,adm-clerical,chess,30700,0,2/26/2015,Parked Car,NA,Minor Damage,None,NC,Arlington,5480 3rd Ridge,7,1,UNKNOWN,0,0,NO,3600,360,720,2520,BMW,X5,2013
N,388616,12/6/1995,OH,250/500,2000,1391.63,0,1,466390,33,MALE,Associate,sales,video-games,61200,0,2/26/2015,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Columbus,8524 Pine Lane,23,1,YES,0,3,NO,69400,6940,6940,55520,Mercedes,C300,2000
Y,388671,5/1/1997,OH,250/500,2000,1554.86,6000000,140,608758,31,FEMALE,JD,armed-forces,base-jumping,59000,0,2/16/2015,Parked Car,NA,Minor Damage,None,WV,Arlington,4585 Francis Ave,2,1,YES,1,2,UNKNOWN,6120,680,680,4760,Honda,Civic,2002
N,389238,6/6/2001,IL,250/500,500,1497.35,0,279,460742,41,FEMALE,JD,prof-specialty,bungie-jumping,37300,-31700,1/29/2015,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NC,Northbrook,2199 Texas Drive,16,3,UNKNOWN,2,3,NO,28800,0,3600,25200,Ford,Fusion,2013
N,389525,7/10/2012,OH,500/1000,500,1467.76,0,210,601425,37,FEMALE,MD,tech-support,hiking,38700,-33100,2/22/2015,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,NY,Northbend,3097 4th Drive,8,1,UNKNOWN,1,3,YES,63300,6330,6330,50640,Toyota,Highlander,2000
Y,390256,11/25/2009,IN,500/1000,1000,1200.33,4000000,163,477631,37,FEMALE,High School,craft-repair,cross-fit,0,-36400,2/6/2015,Vehicle Theft,NA,Minor Damage,Police,WV,Springfield,6702 Andromedia St,7,1,UNKNOWN,2,1,YES,3900,390,780,2730,Volkswagen,Jetta,2008
N,390381,1/27/2007,OH,500/1000,2000,965.21,0,190,610354,40,FEMALE,JD,exec-managerial,camping,36900,-53700,2/2/2015,Parked Car,NA,Trivial Damage,None,SC,Hillsdale,8404 Embaracadero St,10,1,UNKNOWN,2,1,YES,6300,630,630,5040,Nissan,Ultima,2001
N,391003,7/1/2005,OH,500/1000,500,889.13,0,350,459429,50,FEMALE,Masters,priv-house-serv,board-games,0,0,2/26/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Police,PA,Northbend,4618 Flute Ave,14,3,NO,0,2,NO,44190,9820,4910,29460,Audi,A3,2015
Y,391652,10/12/1998,OH,100/300,500,1382.88,7000000,86,434923,26,MALE,JD,tech-support,cross-fit,0,-30300,1/12/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbend,2293 Washington Ave,11,1,UNKNOWN,1,1,YES,81840,14880,7440,59520,Chevrolet,Malibu,2011
N,394975,6/2/2002,IN,100/300,1000,1530.52,0,217,603993,39,MALE,College,armed-forces,basketball,0,0,2/22/2015,Vehicle Theft,NA,Minor Damage,None,WV,Northbend,2644 Elm Drive,8,1,UNKNOWN,2,1,YES,4300,430,430,3440,Toyota,Corolla,2000
